Case Title,Petitioner,Respondent,Year,Date of Judgment,Bench,Case Type,Statutes Referenced,Citation,Outcome,Headnote,PDF_File,Folder,FullText_Sample
M S Bharti Airtel Ltd vs The Commissioner Of Central Excise,M/S Bharti Airtel Ltd,"The Commissioner Of Central Excise, ...",2024,20 November 2024,,,,,,,M_S_Bharti_Airtel_Ltd_vs_The_Commissioner_Of_Central_Excise_on_20_November_2024_1.PDF,2024,"M/S Bharti Airtel Ltd vs The Commissioner Of Central Excise, ...
on 20 November, 2024
2024 INSC 880                                                   R E PO RTAB LE
                                       IN THE SUPREME COURT OF INDIA
                                        CIVIL APPELLATE JURISDICTION
                                      CIVIL APPEAL NOS. 10409-10410 OF 2014
                            M/S BHARTI AIRTEL LTD.             …APPELLANTS (S)
                                                      VERSUS
                            THE COMMISSIONER OF
                            CENTRAL EXCISE, PUNE               …RESPONDENT(S)
                                                     WITH
                                       CIVIL APPEAL NO. 5832 OF 2018
                                    CIVIL APPEAL NOs. 5032-5035 OF 2021
                                      CIVIL APPEAL NOs. 5039-5040 OF 2021
                                       CIVIL APPEAL NO. 5038 OF 2021
                                       CIVIL APPEAL NO. 5056 OF 2021
                                    CIVIL APPEAL NOs. 5036-5037 OF 2021
                                       CIVIL APPEAL NO. 7119 OF 2015
                                       CIVIL APPEAL NO. 7179 OF 2015
                                       CIVIL APPEAL NO. 1077 OF 2016
                                       CIVIL APPEAL NO. 1078 OF 2016
                                       CIVIL APPEAL NO. 5112 OF 2021
                           "
M S Sundew Properties Limited vs Telangana State Electricity,M/S Sundew Properties Limited,Telangana State Electricity ...,2024,17 May 2024,,SCDRC Appeal,,,,,M_S_Sundew_Properties_Limited_vs_Telangana_State_Electricity_on_17_May_2024_1.PDF,2024,"M/S Sundew Properties Limited vs Telangana State Electricity ...
on 17 May, 2024
Author: Dipankar Datta
Bench: Dipankar Datta
                                                                                   REPOR
2024 INSC 439
                                     IN THE SUPREME COURT OF INDIA
                                     CIVIL APPELLATE JURISDICTION
                                       CIVIL APPEAL NO. 8978/2019
     M/S SUNDEW PROPERTIES LIMITED                                               …APPELL
                                                    VERSUS
     TELANGANA STATE ELECTRICITY REGULATORY
     COMMISSION & ANR.                                                        …RESPONDEN
                                               JUDGMENT
DIPANKAR DATTA, J.
THE CHALLENGE
1. This is a statutory appeal before us under section 125 of the Indian Electricity Act, 20031. It
registers a challenge to the judgment and order dated 27th September, 2019 passed by the Appellate
Tribunal for Electricity2 Electricity Act APTEL dismissing an appeal carried under section 111 of the
Electricity Act by the appellant from the judgment and order dated 15th February, 2016 passed by
the Telangana State Electricity Regulatory Commission3. Consequently, the impugned judgment
and order of the TSERC was upheld. BRIEF FACTS
M/S Sundew Properties Limited vs Telangana State Electricity ... on 17 May, 2024
Indian Kanoon - http://indiankanoon.org/doc/127466928/
1
2. The basic facts giving ri"
Nabha Power Limited vs Punjab State Power Corporation Ltd,Nabha Power Limited,Punjab State Power Corporation Ltd,2024,5 November 2024,,SCDRC Appeal,,,,,Nabha_Power_Limited_vs_Punjab_State_Power_Corporation_Ltd_on_5_November_2024_1.PDF,2024,"Nabha Power Limited vs Punjab State Power Corporation Ltd on
5 November, 2024
Bench: Prashant Kumar Mishra, B.R. Gavai
2024 INSC 833                                                         REPORTABLE
                                  IN THE SUPREME COURT OF INDIA
                                   CIVIL APPELLATE JURISDICTION
                                    CIVIL APPEAL NO. 8478 OF 2014
             NABHA POWER LIMITED & ANR.                               …Appellant (s)
                                                   Versus
             PUNJAB STATE POWER
             COROPORATION LIMITED & ANR.                              ...Respondent(s)
                                               JUDGMENT
K.V. Viswanathan, J.
1. The present appeal arises from the judgment dated 30.06.2014 of the Appellate Tribunal for
Electricity (for short the “APTEL”) in Appeal No. 29 of 2013. By the said judgement, the APTEL
dismissed the appeal of the appellant and confirmed the order dated 12.11.2012 of the Punjab State
Electricity Regulatory Commission (for short the “State Commission”), insofar as issue no. 1
discussed therein was concerned. That issue concerned the aspect of Mega Power Policy and the
effect of the Press Release of 01.10.2009. We are only concerned with the said issue in this Appeal.
FACTS OF THE CASE: -
A) Customs Notification No. 21/2002 dated 01.03.2002.
2. To appreciate the issues involved, certain background facts need to be set out. Goods imported for
setting up a M"
Neelam Gupta vs Rajendra Kumar Gupta,Neelam Gupta,Rajendra Kumar Gupta,2024,14 October 2024,,,,,set aside,,Neelam_Gupta_vs_Rajendra_Kumar_Gupta_on_14_October_2024_1.PDF,2024,"Neelam Gupta vs Rajendra Kumar Gupta on 14 October, 2024
Author: C.T. Ravikumar
Bench: C.T. Ravikumar
2024 INSC 769
                                                                            Reportable
                                       IN THE SUPREME COURT OF INDIA
                                        CIVIL APPELLATE JURISDICTION
                                        Civil Appeal Nos.3159-3160 of 2019
                            Neelam Gupta & Ors.                          …Appellant(s)
                                                             Versus
                            Rajendra Kumar Gupta & Anr.                 …Respondent(s)
                                                                 With
                                   Contempt Petition (C) Nos. 517-518 of 2020
                                                      IN
                                      Civil Appeal Nos. 3159-3160 of 2019
                            Rajendra Kumar Gupta                        …Appellant(s)
                                                Versus
                            Neelam Gupta and Ors.                       …Alleged Contemn
                                                                        Respondents
                                                       JUDGMENT
C.T. RAVIKUMAR, J.
No.1 viz., appellant Nos. 1 to 3 herein and original defendant No. 2 in Civil Suit No.195A/95, are in
appeal against the judgment dated 11.07.2014 passed by the High "
Pawapuri Rice Mills vs Bihar State Food And Civil Supplies,Pawapuri Rice Mills,Bihar State Food And Civil Supplies ...,2024,18 December 2024,,,,,,,Pawapuri_Rice_Mills_vs_Bihar_State_Food_And_Civil_Supplies_on_18_December_2024_1.PDF,2024,"Pawapuri Rice Mills vs Bihar State Food And Civil Supplies ... on
18 December, 2024
Author: Hrishikesh Roy
Bench: Hrishikesh Roy
 2024 INSC 999
                                                  NON-REPORTABLE
                         IN THE SUPREME COURT OF INDIA
                         CIVIL APPELLATE JURISDICTION
                         CIVIL APPEAL NO. 1889 OF 2023
          PAWAPURI RICE MILLS                      … APPELLANT(S)
                                    Versus
          THE BIHAR STATE FOOD AND
          CIVIL SUPPLIES CORPORATION
          LTD. & ORS                             … RESPONDENT(S)
                                  WITH
                         CIVIL APPEAL NO. 1892 OF 2023
                                     WITH
                         CIVIL APPEAL NO. 1902 OF 2023
                                     WITH
                         CIVIL APPEAL NO. 1905 OF 2023
                                     WITH
                         CIVIL APPEAL NO. 1903 OF 2023
                                     WITH
                         CIVIL APPEAL NO. 1904 OF 2023
                                     WITH
                         CIVIL APPEAL NO. 1908 OF 2023
Signature Not Verified               WITH
Digitally signed by
                         CIVIL APPEAL NO. 1909 OF 2023
NITIN TALREJA
Date: 2024.12.18
12:59:29 IST
Reason:
                                     WITH
                                       1
CIVIL APPEAL NO. 1911 OF 2023
Pawapuri Rice Mills"
Property Owners Association vs State Of Maharashtra,Property Owners Association,State Of Maharashtra,2024,5 November 2024,,,Article 39; Article 31; Article 39(b),,,,Property_Owners_Association_vs_State_Of_Maharashtra_on_5_November_2024_1.PDF,2024,"Property Owners Association vs State Of Maharashtra on 5
November, 2024
                                                                         Reportable
2024 INSC 835
                                IN THE SUPREME COURT OF INDIA
                            CIVIL APPELLATE/ORIGINAL JURISDICTION
                                  Civil Appeal No. 1012 of 2002
             Property Owners Association & Ors.                   …Appellants
                                                     Versus
             State of Maharashtra & Ors.                          …Respondents
                                             With
                                   SLP(C) No. 5777 of 1992
                                             With
                                   SLP(C) No. 5204 of 1992
                                             With
                                   SLP(C) No. 8797 of 1992
                                             With
                                   SLP(C) No. 7950 of 1992
                                             With
                                   SLP(C) No. 4367 of 1992
                                             With
                                    W.P.(C) No. 934 of 1992
                                             With
                                 SLP(C) Nos. 6191-6192 of 1992
                                             With
                                   SLP(C) No. 6744 of 1993
   Signature Not Verified                   "
P Ravindranath vs Sasikala,indranath,Sasikala,2024,15 July 2024,,,,,,,P_Ravindranath_vs_Sasikala_on_15_July_2024_1.PDF,2024,"P. Ravindranath vs Sasikala on 15 July, 2024
Author: Vikram Nath
Bench: Prashant Kumar Mishra, Vikram Nath
2024 INSC 533
                                                                     Reportable
                                    IN THE SUPREME COURT OF INDIA
                                     CIVIL APPELLATE JURISDICTION
                                     CIVIL APPEAL NO.            OF 2024
                                  (Arising out of SLP (C) No.2246 of 2017)
                            P. RAVINDRANATH & ANR.              …APPELLANT(S)
                                                      VERSUS
                            SASIKALA & ORS.                    …RESPONDENT(S)
                                                 JUDGMENT
VIKRAM NATH, J.
1. Leave granted.
2. This appeal, by the defendant, assails the correctness of the judgment and order dated 17.12.2015
of the High Court of Karnataka in RFA No.362 of 2003, whereby the appeal of the appellant was
dismissed and the judgment and decree of the Trial Court dated 22.10.2002 passed in O.S. No.2188
of 1983, decreeing the suit for specific performance was confirmed.
   SONIA BHASIN
   Date: 2024.07.18
   16:54:00 IST
   Reason:                       Brief facts:
3. Smt. Sasikala and K. Satyanarayana (original vendees) entered into an agreement to sell dated
24.05.1981 with Muni Venkata Reddy and his four sons (original vendors) for sale of Survey No.129,
New No.220/01, Site No.14 situated at Kodihali Village, "
Rajive Raturi vs Union Of India,e Raturi,Union Of India,2024,8 November 2024,,,Article 9(1); Article 9; Article 9(2); Article 3,,,,Rajive_Raturi_vs_Union_Of_India_on_8_November_2024_1.PDF,2024,"Rajive Raturi vs Union Of India on 8 November, 2024
Author: Dhananjaya Y Chandrachud
Bench: Dhananjaya Y Chandrachud
                                                                           Reportable
2024 INSC 858
                               IN THE SUPREME COURT OF INDIA
                                 CIVIL ORIGINAL JURISDICTION
                                 Writ Petition (C) No. 243 of 2005
             Rajive Raturi                                            …Petitioner
                                             Versus
             Union of India & Ors.                                   …Respondents
And with Writ Petition (C) No. 228 of 2006 JUDGMENT Dr Dhananjaya Y Chandrachud, CJI Table
of Contents A. Background ................................................................................................... 3 i. Genesis
of the proceedings ..................................................................... 3 ii. Assignment to NALSAR-CDS
................................................................... 6 B. Understanding Accessibility
........................................................................ 8 i. International Framework on
Accessibility............................................... 9 ii. Accessibility as a Human Right
............................................................. 12 iii. Accessibility Jurisprudence
............................................................... 14 C. Reaffirming Disability as a Social Model: Two-Pronged
Ap"
Rohit Kochhar vs Vipul Infrastructure Developers Ltd,Rohit Kochhar,Vipul Infrastructure Developers Ltd,2024,26 November 2024,,,,,,,Rohit_Kochhar_vs_Vipul_Infrastructure_Developers_Ltd_on_26_November_2024_1.PDF,2024,"Rohit Kochhar vs Vipul Infrastructure Developers Ltd on 26
November, 2024
                                                              1
2024 INSC 920
                                                                                       R
                                             IN THE SUPREME COURT OF INDIA
                                    EXTRAORDINARY APPELLATE JURISDICTION
                             SPECIAL LEAVE PETITION(CIVIL) NOS. 10169-10171 OF 2008
        ROHIT KOCHHAR                                                                  …
                                                          VERSUS
        VIPUL INFRASTRUCTURE DEVELOPERS                                              …Re
        LTD. & ORS.
                                                          ORDER
1. These petitions arise from a common order passed by a Division Bench of the High Court of Delhi
dated 11.03.2008 in FAO(OS) Nos.196-197/2005 and FAO(OS) No.205/2005 respectively, by which
the appeals filed by the respondents herein came to be allowed and the plaint was ordered to be
returned to the petitioner herein for presenting it before the appropriate court having territorial
jurisdiction to try the suit 13:00:23 IST Reason:
for specific performance.
2. The petitioner herein, who is the original plaintiff, instituted Civil Suit No.1138/2004 in the Delhi
High Court on its original side for permanent injunction and specific performance of the contract
dated 16/20.01.2004 entered into w"
Society For Enlightenment And vs Union Of India,Society For Enlightenment And ...,Union Of India,2024,18 October 2024,,,Article 32,,,,Society_For_Enlightenment_And_vs_Union_Of_India_on_18_October_2024_1.PDF,2024,"Society For Enlightenment And ... vs Union Of India on 18
October, 2024
Author: Dhananjaya Y Chandrachud
Bench: Dhananjaya Y Chandrachud
                                                                                 Reporta
2024 INSC 790
                                     IN THE SUPREME COURT OF INDIA
                                       CIVIL ORIGINAL JURISDICTION
                                      Writ Petition (C) No. 1234 of 2017
             Society for Enlightenment and Voluntary Action & Anr.         …Petitioners
                                                   Versus
             Union of India & Ors.                                         …Respondents
JUDGMENT Dr Dhananjaya Y Chandrachud, CJI Table of Contents I. Background
................................................................................................... 6 II. Procedural history and
submissions.......................................................... 9 III. A vicious cycle: socio-economic determinants
and effects of child marriage .............................................................................................................. 14
IV. A national reckoning: child marriage in India ...................................... 18 A. The age of consent
................................................................................. 18 i. Rukhmabai’s case
................................................................................. 20 ii. Phulmoni Dasi’s case
....................."
State Of U P vs M S Lalta Prasad Vaish And Sons,State Of U.P.,M/S. Lalta Prasad Vaish And Sons,2024,23 October 2024,,,,,,,State_Of_U_P_vs_M_S_Lalta_Prasad_Vaish_And_Sons_on_23_October_2024_1.PDF,2024,"State Of U.P. vs M/S. Lalta Prasad Vaish And Sons on 23
October, 2024
Author: B.V. Nagarathna
Bench: B.V. Nagarathna
                                                                                   Repor
2024 INSC 812
                                  IN THE SUPREME COURT OF INDIA
                                   CIVIL APPELLATE JURISDICTION
                                       Civil Appeal No 151 of 2007
             State of U.P. & Ors.                                        …Appellants
                                                 Versus
             M/S Lalta Prasad Vaish and sons                             …Respondent
                                                  With
                            Special Leave Petition (C)….(CC) No. 7999 of 2017
                                                   With
                              Special Leave Petition (C) No. 27241 of 2019
                                                   With
                              Special Leave Petition (C) No. 18582 of 2023
                                                   With
                              Special Leave Petition (C) No. 19275 of 2004
                                                   With
                              Special Leave Petition (C) No. 16505 of 2004
                                                   With
                              Special Leave Petition (C) No. 26110 of 2004
                                                   With
               "
Vishal Tiwari vs Union Of India,ishal Tiwari,Union Of India,2024,3 January 2024,,,Article 32,,,,Vishal_Tiwari_vs_Union_Of_India_on_3_January_2024_1.PDF,2024,"Vishal Tiwari vs Union Of India on 3 January, 2024
Author: Dhananjaya Y Chandrachud
Bench: Dhananjaya Y Chandrachud
                                                                                Reportab
2024 INSC 3
                               IN THE SUPREME COURT OF INDIA
                             ORIGINAL CIVIL/CRIMINAL JURISDICTION
                                     Writ Petition (C) No. 162 of 2023
             Vishal Tiwari                                                 …Petitioner
                                                  Versus
             Union of India & Ors.                                        …Respondents
With Writ Petition (Crl) No. 39 of 2023 With Writ Petition (C) No. 201 of 2023 And with Writ
Petition (Crl) No. 57 of 2023 JUDGMENT Dr Dhananjaya Y Chandrachud, CJI Table of Contents A.
Factual background and submissions ....................................................... 3 B. The scope of judicial
review over SEBI’s regulatory domain ................. 11 C. There is no apparent regulatory failure
attributable to SEBI .................. 17 D. The plea to transfer the investigation from SEBI to another
agency or to an SIT .................................................................................................................. 23 i. The
p o w e r  t o  t r a n s f e r  a n  i n v e s t i g a t i o n  i s  e x e r c i s e d  i n  e x t r a o r d i n a r y  s i t u a t i o n s
........................................................."
Yash Raj Films Private Limited vs Afreen Fatima Zaidi,ate Limited,Afreen Fatima Zaidi,2024,22 April 2024,,Deficiency in Service,"Article 19(1); Consumer Protection Act, 1986; Article 19(2)",,,,Yash_Raj_Films_Private_Limited_vs_Afreen_Fatima_Zaidi_on_22_April_2024_1.PDF,2024,"Yash Raj Films Private Limited vs Afreen Fatima Zaidi on 22
April, 2024
Author: Pamidighantam Sri Narasimha
Bench: Aravind Kumar, Pamidighantam Sri Narasimha
                                                                      REPORTABLE
2024 INSC 328
                                    IN THE SUPREME COURT OF INDIA
                                     CIVIL APPELLATE JURISDICTION
                                       CIVIL APPEAL No. 4422/2024
                                 (ARISING OUT OF SLP (C) No. 14475/2021
            YASH RAJ FILMS PRIVATE LIMITED                           …. APPELLANT(S)
                                                  VERSUS
            AFREEN FATIMA ZAIDI & ANR.                              …RESPONDENT(S)
                                              JUDGMENT
PAMIDIGHANTAM SRI NARASIMHA, J.
1. What are the legal implications of a promotional trailer, popularly known as a ‘promo’, or a teaser
that is circulated before the release of a movie? Does it create any contractual relationship or
obligations akin to it? Is it an unfair trade practice if the contents of the promotional trailer are not
shown in the movie? These questions have arisen in the context of a consumer dispute wherein the
consumer courts have allowed the complaint alleging deficiency of service based on a ‘contractual
obligation’ and ‘unfair trade practice’. For the reasons to follow, we have held that promotional
trailers are unilateral and do not qualify as offers eliciting acc"
Akshay Gupta vs Icici Bank Limited,Akshay Gupta,Icici Bank Limited,2025,25 March 2025,,Unfair Trade Practice,"section 23 of the Consumer Protection Act, 1986; Consumer Protection Act, 1986",,,,Akshay_Gupta_vs_Icici_Bank_Limited_on_25_March_2025_1.PDF,2025,"Akshay Gupta vs Icici Bank Limited on 25 March, 2025
Author: Vikram Nath
Bench: Sanjay Karol, Vikram Nath
2025 INSC 391
                                                                      REPORTABLE
                                    IN THE SUPREME COURT OF INDIA
                                      CIVIL APPELLATE JURISDICTION
                                      CIVIL APPEAL NO.1708 OF 2023
                         AKSHAY GUPTA & ORS.                        …APPELLANTS
                                                       VERSUS
                         ICICI BANK LIMITED & ORS.                  …RESPONDENT
                                                         WITH
                                      CIVIL APPEAL NO.1709 OF 2023
                                                         AND
                                      CIVIL APPEAL NO.2828 OF 2023
                                                         AND
                                      CIVIL APPEAL NO.4336 OF 2023
                                                 JUDGMENT
VIKRAM NATH, J.
1. This is a classic case where wisdom dawned upon the three parties in a commercial arrangement
to settle the dispute amicably, of course, with a little effort by the Court. The three parties, being the
borrower/flat owners, the builder and the Bank – the lender. Under the agreement between the
parties, there were respective obligations on each of the parties to be fulfilled, in which there were
defaults at the en"
Balbir Singh vs Baldev Singh D Through His Lrs,Balbir Singh,Baldev Singh (D) Through His Lrs,2025,17 January 2025,,,,,,,Balbir_Singh_vs_Baldev_Singh_D_Through_His_Lrs_on_17_January_2025_1.PDF,2025,"Balbir Singh vs Baldev Singh (D) Through His Lrs on 17
January, 2025
 2025 INSC 81                                                                           
                                           IN THE SUPREME COURT OF INDIA
                                             CIVIL APPELLATE JURISDICTION
                                          CIVIL APPEAL NOS. 563-566 OF 2025
                         (Petitions for Special Leave to Appeal (C) Nos. 22802-22805 of 
                      BALBIR SINGH & ANR ETC                                            
                                                           VERSUS
                      BALDEV SINGH (D) THROUGH HIS LRS & ORS. ETC                       
                                                     JUDGMENT
J.B. PARDIWALA, J.
1. Leave granted.
2. Since the issues raised in all the captioned appeals are same, the parties are also same and the
challenge is also to the self-same judgment and order passed by the High Court those were taken up
for hearing analogously and are being disposed of by this common judgment and order.
3. These appeals arise from the judgment and order passed by the High Court of Punjab & Haryana
at Chandigarh dated 09.09.2022 in Civil Revision No. 6706 of 2019, Civil Revision No. 6952 of
2019, Civil Revision No. 6980 of 2019 and Civil Revision No. 7053 of 2019 respectively by which the
High Court rejected all the four revision applications filed by the original defendants by a common
order and the"
Biswajit Das vs Central Bureau Of Investigation,Biswajit Das,Central Bureau Of Investigation,2025,16 January 2025,,Consumer Protection,"Article
136; Article 142; Consumer Protection Act, 1986; Article
142; Article 136",,,,Biswajit_Das_vs_Central_Bureau_Of_Investigation_on_16_January_2025_1.PDF,2025,"Biswajit Das vs Central Bureau Of Investigation on 16 January,
2025
Author: Dipankar Datta
Bench: Dipankar Datta
                                                             1
                                                                                       R
2025 INSC 85
                                          IN THE SUPREME COURT OF INDIA
                                         CRIMINAL APPELLATE JURISDICTION
                                           CRIMINAL APPEAL NO. 2052/2014
        BISWAJIT DAS                                                                 App
                                                        VERSUS
        CENTRAL BUREAU OF INVESTIGATION                                              Res
                                                     JUDGMENT
1 The appellant was convicted for commission of offences punishable under Section 468 r/w Section
120(B), Section 271 and 465 r/w Section 120(B) and Section 420 r/w Section 120(B) of the Indian
Penal Code, 1860 1 as well as Section 13(1)(d) read with Section 13(2) of the Prevention of
Corruption Act, 19882.
2. For all but one of the offences punishable under the IPC, sentence of two years’ rigorous
imprisonment3 was imposed on the appellant. For the offence under Section 271 and 465 r/w
Section 120(B), sentence of R.I. for a year was imposed. Insofar as the offence punishable under
sub-section (1)(d) read with sub-section (2) of Section 13 of the PC Act is concerned, the appellant
was sentenc"
Chandra Shekhar Singh vs The State Of Jharkhand,Chandra Shekhar Singh,The State Of Jharkhand,2025,20 March 2025,,SCDRC Appeal,Article 246(2); Article 254,,,,Chandra_Shekhar_Singh_vs_The_State_Of_Jharkhand_on_20_March_2025_1.PDF,2025,"Chandra Shekhar Singh vs The State Of Jharkhand on 20 March,
2025
Author: Vikram Nath
Bench: Vikram Nath, Sanjay Karol
 2025 INSC 372
                                                                 REPORTABLE
                                 IN THE SUPREME COURT OF INDIA
                                  CIVIL APPELLATE JURISDICTION
                                CIVIL APPEAL NO(S). 10389 OF 2024
                         CHANDRA SHEKHAR SINGH
                         AND OTHERS                        …….APPELLANT(S)
                                                VERSUS
                         THE STATE OF JHARKHAND
                         AND OTHERS                        ….RESPONDENT(S)
                                           JUDGMENT
Mehta, J.
1. Heard.
2. The appellants have approached this Court by way of this appeal seeking a direction upon the
respondents to consider the candidature of the appellants for appointment as Food Safety Officers1,
pursuant to the notification dated 7th October, 2015 issued by the Jharkhand Public Service
Commission2 upon the requisition of the State of Jharkhand.
3. The appellants herein have the qualifications of post-graduation in science with microbiology,
food and technology subjects. They applied for the post of FSO in pursuance of the Advertisement
No. 01/20163 issued by the JPSC wherein the educational qualification for the said post was
stipulated in the terms below: -
Chandra Shekhar Singh vs The State Of Jharkhand on 20 Marc"
Godrej Projects Development Limited vs Anil Karlekar,elopment Limited,Anil Karlekar,2025,3 February 2025,,NCDRC Appeal,"Consumer Protection Act, 1986; Section 23 of Consumer Protection Act, 1986",,,,Godrej_Projects_Development_Limited_vs_Anil_Karlekar_on_3_February_2025_1.PDF,2025,"Godrej Projects Development Limited vs Anil Karlekar on 3
February, 2025
Author: B.R. Gavai
Bench: B.R. Gavai
2025 INSC 143
                                                                       REPORTABLE
                                   IN THE SUPREME COURT OF INDIA
                                    CIVIL APPELLATE JURISDICTION
                                    CIVIL APPEAL NO. 3334 OF 2023
                   GODREJ PROJECTS DEVELOPMENT
                   LIMITED                                        …APPELLANT(S)
                                                 VERSUS
                   ANIL KARLEKAR & ORS.                           …RESPONDENT(S)
                                             JUDGMENT
B.R. GAVAI, J.
1. The present appeal takes exception to the final judgment and order dated 25th October, 2022
passed in Consumer Complaint No. 262 of 2018, whereby the National Consumer Disputes
Redressal Commission (hereinafter, “NCDRC”) disposed of the Consumer Complaint filed by the
Respondents No. 1 and 2 (hereinafter referred to as, “Complainants” or Reason: “Respondents”)
thereby directing the Appellant to deduct only 10% of the Basic Sale Price (“BSP” for short) towards
cancellation of the Complainants’ Apartment and refund the balance amount along with simple
interest @ 6% per annum from the date of each payment till the date of refund. Aggrieved thereby,
the present appeal has been filed under Section 23 of Consumer Protection Act, 1986.
2. The facts, in brief,"
Independent Sugar Corporation Limited vs Girish Sriram Juneja,Independent Sugar Corporation Limited,Girish Sriram Juneja,2025,29 January 2025,,,,,,,Independent_Sugar_Corporation_Limited_vs_Girish_Sriram_Juneja_on_29_January_2025_1.PDF,2025,"Independent Sugar Corporation Limited vs Girish Sriram Juneja
on 29 January, 2025
Author: Hrishikesh Roy
Bench: Sudhanshu Dhulia, Hrishikesh Roy
2025 INSC 124                                                   REPORTABLE
                            IN THE SUPREME COURT OF INDIA
                             CIVIL APPELLATE JURISDICTION
                             CIVIL APPEAL NO. 6071 OF 2023
             INDEPENDENT SUGAR CORPORATION LTD.              APPELLANT(S)
                                         VERSUS
             GIRISH SRIRAM JUNEJA & ORS.                     RESPONDENT(S)
                                         WITH
                             CIVIL APPEAL NO. 4954 OF 2023
                             CIVIL APPEAL NO. 4924 OF 2023
                             CIVIL APPEAL NO. 4937 OF 2023
                             CIVIL APPEAL NO. 5018 OF 2023
                             CIVIL APPEAL NO. 5401 OF 2023
                             CIVIL APPEAL NO. 6847 OF 2023
                             CIVIL APPEAL NO. 6055 OF 2023
                             CIVIL APPEAL NO. 6123 OF 2023
                             CIVIL APPEAL NO. 6177 OF 2023
                             CIVIL APPEAL NO. 7037 OF 2023
                             CIVIL APPEAL NO. 7038 OF 2023
                             CIVIL APPEAL NO. 6771 OF 2023
                             CIVIL APPEAL NO. 7428 OF 2023
   Signature Not Verified
   Digitally signed by
Independent Sugar Corporation Limited vs Giris"
In Re Recruitment Of Visually Impaired vs The Registrar General The High Court Of,isually Impaired ...,The Registrar,2025,3 March 2025,,,Article 32,,,,In_Re_Recruitment_Of_Visually_Impaired_vs_The_Registrar_General_The_High_Court_Of_on_3_March_2025_1.PDF,2025,"In Re Recruitment Of Visually Impaired ... vs The Registrar
General The High Court Of ... on 3 March, 2025
                                                                                        
 2025 INSC 300                                                            REPORTABLE
                               IN THE SUPREME COURT OF INDIA
                                CIVIL ORIGINAL JURISDICTION
                         SUO MOTU WRIT PETITION (CIVIL) NO. 2 OF 2024
          IN RE: RECRUITMENT OF VISUALLY IMPAIRED IN JUDICIAL SERVICES
                                                WITH
                         SUO MOTU WRIT PETITION (CIVIL) NO. 6 OF 2024
          IN RE: RECRUITMENT OF PWD CANDIDATES IN RAJASTHAN JUDICIAL
          SERVICES
                                                WITH
                                 CIVIL APPEAL NO. 3496 OF 2025
                               (Arising out of SLP (C) No.7683 of 2024)
          ALOK SINGH                                           …          APPELLANT(S)
                                              VERSUS
          STATE OF MADHYA PRADESH & ORS.                       …          RESPONDENT(S)
                                                WITH
                                CIVIL APPEAL NO. 3497 OF 2025
                              (Arising out of SLP (C) No.12179 of 2024)
          AYUSH YARDI
Signature Not Verified
                                                               …          APPELLANT(S)
Digitally s"
Ivan Rathinam vs Milan Joseph,an Rathinam,Milan Joseph,2025,28 January 2025,,,,,,,Ivan_Rathinam_vs_Milan_Joseph_on_28_January_2025_1.PDF,2025,"Ivan Rathinam vs Milan Joseph on 28 January, 2025
Author: Surya Kant
Bench: Surya Kant
2025 INSC 115                                                                         RE
                                          IN THE SUPREME COURT OF INDIA
                                         CRIMINAL APPELLATE JURISDICTION
                              CRIMINAL APPEAL NO. 413 OF 2025
                [ARISING OUT OF SPECIAL LEAVE PETITION (CRL.) NO. 4917 / 2018]
            Ivan Rathinam                                                             ….
                                                           versus
            Milan Joseph                                                            ….Re
                                                       JUDGEMENT
SURYA KANT, J.
Leave granted.
2. The instant appeal impugns the judgment dated 21.05.2018 passed by a Single Judge of the
Kerala High Court (Ernakulam) (High Court), upholding the Family Court’s order dated 09.11.2015
reviving a maintenance petition on the following grounds: (i) paternity and legitimacy are
independent concepts in law; (ii) the Civil Courts did not have jurisdiction to entertain the original
suit; and (iii) since only the Family Court can determine maintenance and legitimacy, the Family
Court could proceed to determine paternity as incidental to the maintenance proceedings.
1|Page A. FACTS A.1 First round of litigation
3. Since the instant appeal arises out of a long-drawn saga, during which multiple ro"
I K Merchants Pvt Ltd vs The State Of Rajasthan,t. Ltd,The State Of Rajasthan,2025,1 April 2025,,,,,,,I_K_Merchants_Pvt_Ltd_vs_The_State_Of_Rajasthan_on_1_April_2025_1.PDF,2025,"I.K. Merchants Pvt. Ltd vs The State Of Rajasthan on 1 April,
2025
                                                                                        
2025 INSC 418                                                                       REPO
                                        IN THE SUPREME COURT OF INDIA
                                         CIVIL APPELLATE JURISDICTION
                                      CIVIL APPEAL NOS. 4560-4563 OF 2025
                                  (Arising out of SLP (C) Nos. 11779 – 11782 of 2022)
             I.K. MERCHANTS PVT. LTD. & ORS.                                  ... APPELL
                                                           VERSUS
             THE STATE OF RAJASTHAN & ORS.                                    ... RESPON
                                                      JUDGMENT
R. MAHADEVAN, J.
Leave granted.
2. These appeals are filed against the judgments and orders dated 26.04.2022 and 02.05.2022 both
passed by the Division Bench of Calcutta High Court 1 in G.A.No.6 of 2020 and A.P.D.No.63 of 2013
in C.S.No.467 of 1978. Vide order dated 26.04.2022, the High Court, while upholding and
reaffirming the valuation of shares done by M/s. Ray & Ray at Rs.640/- per share, granted simple
interest at 6% per annum on the enhanced valuation of shares, however, rejected the Hereinafter
referred to as “the High Court” prayer of the appellants for enhancement of interest rates, costs and
damages, and accordingly, disposed of "
